,id,answer,score_me,score_other,score_avg,bert_distance,bert_similarity_score,normalized_bert_score,elmo_similarity_score,normalized_elmo_score,gpt_similarity_score,normalized_gpt_score,gpt2_similarity_score,normalized_gpt2_score
0,1.1,High risk problems are address in the prototype program to make sure that the program is feasible.  A prototype may also be used to show a company that the software can be possibly programmed.,4,3,3.5,0.02761769295,0.9723823071,0.9647592137,0.2961798906,0.3822948978,0.9949564265,0.9423341268,0.9999457748,0.9360623848
1,1.1,To simulate portions of the desired final product with a quick and easy program that does a small specific job. It is a way to help see what the problem is and how you may solve it in the final project.,5,5,5,0.02839875221,0.9716012478,0.9637625648,0.5041723251,0.5648386846,0.9935473021,0.9262228539,0.9999495994,0.9405720437
2,1.1,A prototype program simulates the behaviors of portions of the desired software product to allow for error checking.,5,3,4,0.01391863823,0.9860813618,0.9822395101,0.7864713669,0.812597389,0.9990154815,0.9887434732,0.9999825027,0.9793686625
3,1.1,"Defined in the Specification phase a prototype stimulates the behavior of portions of the desired software product.  Meaning, the role of a prototype is a temporary solution until the program itself is refined to be used extensively in problem solving.",5,5,5,0.01651012897,0.983489871,0.9789327106,0.6177712679,0.6645383744,0.9920655367,0.9092810377,0.9999879105,0.9857451264
4,1.1,It is used to let the users have a first idea of the completed program and allow the clients to evaluate the program. This can generate much feedback including software specifications and project estimations of the total project.,3,3,3,0.02242964506,0.9775703549,0.9713792773,0.457669884,0.52402599,0.9951580917,0.9446398727,0.9999792639,0.9755498398
5,1.1,To find problem and errors in a program before it is finalized,2,2,2,0.05223947763,0.9477605224,0.9333412724,0.0966520533,0.2071800332,0.9944987822,0.9371016352,0.999930053,0.9175246522
6,1.1,"To address major issues in the creation of the program. There is no way to account for all possible bugs in the program, but it is possible to prove the program is tangible. ",3,2,2.5,0.02779108286,0.9722089171,0.9645379642,0.2792869508,0.367468872,0.9956336,0.9500766139,0.999963253,0.9566711109
7,1.1,you can break the whole program into prototype programs to simulate parts of the final program,5,5,5,0.03721433878,0.9627856612,0.9525136815,0.3503257036,0.4298157692,0.9905921906,0.8924354835,0.9999738374,0.9691513523
8,1.1,-To provide an example or model of how the finished program should perfom.  -Provides forsight of some of the challanges that would be encountered.  -Provides opportunity To introduce changes To the finished program.,5,2,3.5,0.03602951765,0.9639704823,0.9540255394,0.3399498761,0.4207094628,0.9963232463,0.9579617085,0.9999851668,0.9825099791
9,1.1,Simulating the behavior of only a portion of the desired software product.,5,5,5,0.01137292385,0.9886270761,0.9854878978,0.8689111471,0.8849503556,0.9986046153,0.9840458208,0.9999515009,0.9428141139
10,1.1,A program that stimulates the behavior of portions of the desired software product.,5,5,5,0.01170969009,0.9882903099,0.9850581767,0.8256347775,0.8469690108,0.9985026014,0.9828794414,0.9999854255,0.9828150835
11,1.1,A program that simulates the behavior of portions of the desired software product.,5,5,5,0.0114569068,0.9885430932,0.9853807338,0.9114789963,0.9223098702,0.9985026014,0.9828794414,0.9999854255,0.9828150835
12,1.1,To lay out the basics and give you a starting point in the actual problem solving.,2,2,2,0.03590524197,0.964094758,0.9541841179,0.1381003112,0.2435569426,0.9935240547,0.9259570547,0.9999645606,0.9582129992
13,1.1,To simulate problem solving for parts of the problem,4,5,4.5,0.03451615572,0.9654838443,0.9559566228,0.419138521,0.4902090825,0.9959318677,0.9534868676,0.9999783145,0.9744303891
14,1.1,A prototype program provides a basic groundwork from which to further enhance and improve a solution to a problem.,2,2,2,0.03263473511,0.9673652649,0.958357357,0.2745000422,0.3632676594,0.9951970101,0.9450848475,0.9999775935,0.9735802281
15,1.1,"A prototype program is a part of the Specification phase of Software Problem Solvin.  It's employed to illustrate how the key problem or problems will be solved in a program, and sometimes serves as a base program to expand upon.",4,5,4.5,0.02427434921,0.9757256508,0.9690253941,0.3541264832,0.4331515093,0.9946912018,0.9393016713,0.9999673286,0.961476802
16,1.1,Program that simulates the behavior of portions of the desired software product,5,5,5,0.02130579948,0.9786942005,0.9728133291,0.8694002032,0.8853795739,0.9975166619,0.9716066674,0.9999861689,0.9836915991
17,1.1,it provides a limited proof of concept to verify with the client before actually programming the whole application.,2,2,2,0.02058523893,0.9794147611,0.9737327804,0.3382557631,0.4192226308,0.9936076691,0.9269130619,0.9999761604,0.9718904822
18,1.1,It tests the main function of the program while leaving out the finer details.,2,2,2,0.02528935671,0.9747106433,0.9677302221,0.2940894067,0.3804601924,0.9980257171,0.9774269683,0.9999563808,0.948568029
19,1.1,To get early feedback from users in early stages of development.  To show users a first idea of what the program will do/look like.  To make sure the program will meet requirements before intense programming begins.,3,2,2.5,0.02767193317,0.9723280668,0.9646900019,0.3859876394,0.4611143346,0.9924299196,0.9134472223,0.9999819993,0.9787751206
20,1.1,it simulates the behavior of portions of the desired software product,5,5,5,0.01666432619,0.9833356738,0.9787359516,0.8914508224,0.9047322178,0.9978230446,0.9751097046,0.9999867213,0.9843428764
21,1.1,It simulates the behavior of portions of the desired software product.,5,5,5,0.008736014366,0.9912639856,0.9888526526,0.9440821409,0.9509238989,1,1,0.9999878725,0.9857003185
22,1.1,A prototype program is used in problem solving to collect data for the problem.,1,2,1.5,0.04046738148,0.9595326185,0.9483627272,0.272711277,0.3616977563,0.994843417,0.9410420287,0.9999394499,0.9286046802
23,1.1,To ease the understanding of problem under discussion and to ease the understanding of the program itself,2,3,2.5,0.02441692352,0.9755830765,0.9688434662,0.1266872883,0.2335403455,0.9985175752,0.9830506442,0.9999892148,0.9872830248
24,1.1,it simulates the behavior of portions of the desired software product,5,5,5,0.01666432619,0.9833356738,0.9787359516,0.8914508224,0.9047322178,0.9978230446,0.9751097046,0.9999867213,0.9843428764
